date,employees
1/1/2017,0
1/2/2017,7092
1/3/2017,20075
1/4/2017,20438
1/5/2017,17362
1/6/2017,19562
1/7/2017,0
1/8/2017,0
1/9/2017,21066
1/10/2017,20508
1/11/2017,20219
1/12/2017,20966
1/13/2017,19587
1/14/2017,0
1/15/2017,0
1/16/2017,10980
1/17/2017,22468
1/18/2017,23311
1/19/2017,23096
1/20/2017,20070
1/21/2017,0
1/22/2017,0
1/23/2017,21991
1/24/2017,22988
1/25/2017,22415
1/26/2017,23690
1/27/2017,23371
1/28/2017,0
1/29/2017,0
1/30/2017,22913
1/31/2017,22933
2/1/2017,23835
2/2/2017,24540
2/3/2017,22768
2/4/2017,0
2/5/2017,0
2/6/2017,20109
2/7/2017,23935
2/8/2017,24634
2/9/2017,24692
2/10/2017,21873
2/11/2017,0
2/12/2017,0
2/13/2017,24861
2/14/2017,22919
2/15/2017,24006
2/16/2017,22970
2/17/2017,19003
2/18/2017,0
2/19/2017,0
2/20/2017,12135
2/21/2017,23095
2/22/2017,22808
2/23/2017,22907
2/24/2017,20319
2/25/2017,0
2/26/2017,0
2/27/2017,23497
2/28/2017,23615
3/1/2017,23074
3/2/2017,22565
3/3/2017,22047
3/4/2017,0
3/5/2017,0
3/6/2017,22536
3/7/2017,22751
3/8/2017,22756
3/9/2017,21722
3/10/2017,20345
3/11/2017,0
3/12/2017,0
3/13/2017,22479
3/14/2017,24138
3/15/2017,23948
3/16/2017,22295
3/17/2017,17452
3/18/2017,0
3/19/2017,0
3/20/2017,22070
3/21/2017,24869
3/22/2017,22602
3/23/2017,22323
3/24/2017,20700
3/25/2017,0
3/26/2017,0
3/27/2017,22633
3/28/2017,22657
3/29/2017,21883
3/30/2017,22144
3/31/2017,19910
4/1/2017,0
4/2/2017,0
4/3/2017,21762
4/4/2017,21128
4/5/2017,21698
4/6/2017,21871
4/7/2017,19954
4/8/2017,0
4/9/2017,0
4/10/2017,20139
4/11/2017,20821
4/12/2017,19532
4/13/2017,18716
4/14/2017,16501
4/15/2017,0
4/16/2017,0
4/17/2017,20129
4/18/2017,24086
4/19/2017,24734
4/20/2017,23127
4/21/2017,19691
4/22/2017,0
4/23/2017,0
4/24/2017,22907
4/25/2017,23347
4/26/2017,22438
4/27/2017,22981
4/28/2017,21070
4/29/2017,0
4/30/2017,0
5/1/2017,29883
5/2/2017,23067
5/3/2017,30026
5/4/2017,22520
5/5/2017,20968
5/6/2017,0
5/7/2017,0
5/8/2017,27652
5/9/2017,23727
5/10/2017,28730
5/11/2017,23154
5/12/2017,20360
5/13/2017,0
5/14/2017,0
5/15/2017,22598
5/16/2017,22810
5/17/2017,21596
5/18/2017,22430
5/19/2017,19272
5/20/2017,0
5/21/2017,0
5/22/2017,21689
5/23/2017,21062
5/24/2017,21887
5/25/2017,20982
5/26/2017,18651
5/27/2017,0
5/28/2017,0
5/29/2017,6678
5/30/2017,20353
5/31/2017,20678
6/1/2017,21773
6/2/2017,18817
6/3/2017,0
6/4/2017,0
6/5/2017,19532
6/6/2017,20407
6/7/2017,20047
6/8/2017,19151
6/9/2017,17267
6/10/2017,0
6/11/2017,0
6/12/2017,19599
6/13/2017,19742
6/14/2017,19858
6/15/2017,18736
6/16/2017,16643
6/17/2017,0
6/18/2017,0
6/19/2017,18797
6/20/2017,19553
6/21/2017,19311
6/22/2017,19428
6/23/2017,16289
6/24/2017,0
6/25/2017,0
6/26/2017,16415
6/27/2017,20307
6/28/2017,18995
6/29/2017,18873
6/30/2017,16463
7/1/2017,0
7/2/2017,0
7/3/2017,12674
7/4/2017,5609
7/5/2017,18343
7/6/2017,18851
7/7/2017,16301
7/8/2017,0
7/9/2017,0
7/10/2017,19299
7/11/2017,19361
7/12/2017,19876
7/13/2017,18620
7/14/2017,17127
7/15/2017,0
7/16/2017,0
7/17/2017,18189
7/18/2017,18553
7/19/2017,19229
7/20/2017,19337
7/21/2017,16668
7/22/2017,0
7/23/2017,0
7/24/2017,18650
7/25/2017,19893
7/26/2017,18310
7/27/2017,19208
7/28/2017,16790
7/29/2017,0
7/30/2017,0
7/31/2017,19177
8/1/2017,19042
8/2/2017,18988
8/3/2017,18783
8/4/2017,16713
8/5/2017,0
8/6/2017,0
8/7/2017,19391
8/8/2017,19708
8/9/2017,19308
8/10/2017,20546
8/11/2017,17202
8/12/2017,0
8/13/2017,0
8/14/2017,19342
8/15/2017,21224
8/16/2017,23250
8/17/2017,22359
8/18/2017,19647
8/19/2017,0
8/20/2017,0
8/21/2017,20727
8/22/2017,21645
8/23/2017,22301
8/24/2017,22386
8/25/2017,20281
8/26/2017,0
8/27/2017,0
8/28/2017,22535
8/29/2017,22773
8/30/2017,22910
8/31/2017,23693
9/1/2017,18346
9/2/2017,0
9/3/2017,0
9/4/2017,8129
9/5/2017,22410
9/6/2017,22937
9/7/2017,23197
9/8/2017,21300
9/9/2017,0
9/10/2017,0
9/11/2017,25650
9/12/2017,24597
9/13/2017,23575
9/14/2017,23785
9/15/2017,20885
9/16/2017,0
9/17/2017,0
9/18/2017,21547
9/19/2017,23665
9/20/2017,23774
9/21/2017,22229
9/22/2017,19881
9/23/2017,0
9/24/2017,0
9/25/2017,23360
9/26/2017,23645
9/27/2017,23750
9/28/2017,22739
9/29/2017,21619
9/30/2017,0
10/1/2017,0
10/2/2017,22569
10/3/2017,23599
10/4/2017,22449
10/5/2017,21133
10/6/2017,18437
10/7/2017,0
10/8/2017,0
10/9/2017,18559
10/10/2017,22207
10/11/2017,21981
10/12/2017,21605
10/13/2017,18251
10/14/2017,0
10/15/2017,0
10/16/2017,21427
10/17/2017,22727
10/18/2017,22937
10/19/2017,23488
10/20/2017,20426
10/21/2017,0
10/22/2017,0
10/23/2017,22990
10/24/2017,24149
10/25/2017,24326
10/26/2017,23009
10/27/2017,21672
10/28/2017,0
10/29/2017,0
10/30/2017,24540
10/31/2017,23562
11/1/2017,21629
11/2/2017,24364
11/3/2017,21252
11/4/2017,0
11/5/2017,0
11/6/2017,23215
11/7/2017,22412
11/8/2017,23037
11/9/2017,23246
11/10/2017,18301
11/11/2017,0
11/12/2017,0
11/13/2017,21934
11/14/2017,22140
11/15/2017,23361
11/16/2017,22791
11/17/2017,20058
11/18/2017,0
11/19/2017,0
11/20/2017,21769
11/21/2017,21903
11/22/2017,17200
11/23/2017,6930
11/24/2017,10345
11/25/2017,0
11/26/2017,0
11/27/2017,21611
11/28/2017,23767
11/29/2017,23263
11/30/2017,27007
12/1/2017,26155
12/2/2017,0
12/3/2017,0
12/4/2017,24972
12/5/2017,27213
12/6/2017,28523
12/7/2017,28324
12/8/2017,22237
12/9/2017,0
12/10/2017,0
12/11/2017,25591
12/12/2017,25731
12/13/2017,26276
12/14/2017,26349
12/15/2017,23754
12/16/2017,0
12/17/2017,0
12/18/2017,24344
12/19/2017,25191
12/20/2017,23788
12/21/2017,22857
12/22/2017,17542
12/23/2017,0
12/24/2017,0
12/25/2017,7835
12/26/2017,14653
12/27/2017,18758
12/28/2017,18183
12/29/2017,17052
12/30/2017,0
12/31/2017,0
1/1/2018,9516
1/2/2018,23539
1/3/2018,26974
1/4/2018,31186
1/5/2018,24144
1/6/2018,0
1/7/2018,0
1/8/2018,21710
1/9/2018,29128
1/10/2018,27618
1/11/2018,30031
1/12/2018,22637
1/13/2018,0
1/14/2018,0
1/15/2018,14956
1/16/2018,22924
1/17/2018,29210
1/18/2018,28281
1/19/2018,32201
1/20/2018,0
1/21/2018,0
1/22/2018,26116
1/23/2018,28203
1/24/2018,27332
1/25/2018,27392
1/26/2018,24298
1/27/2018,0
1/28/2018,0
1/29/2018,26150
1/30/2018,28067
1/31/2018,27749
2/1/2018,26952
2/2/2018,24401
2/3/2018,0
2/4/2018,0
2/5/2018,25668
2/6/2018,27948
2/7/2018,19976
2/8/2018,29796
2/9/2018,27749
2/10/2018,0
2/11/2018,0
2/12/2018,30195
2/13/2018,28855
2/14/2018,26060
2/15/2018,25147
2/16/2018,23508
2/17/2018,0
2/18/2018,0
2/19/2018,14424
2/20/2018,24753
2/21/2018,25378
2/22/2018,23981
2/23/2018,23442
2/24/2018,0
2/25/2018,0
2/26/2018,25244
2/27/2018,26597
2/28/2018,26517
3/1/2018,26522
3/2/2018,23767
3/3/2018,0
3/4/2018,0
3/5/2018,26080
3/6/2018,26437
3/7/2018,24734
3/8/2018,24770
3/9/2018,21953
3/10/2018,0
3/11/2018,0
3/12/2018,26192
3/13/2018,25850
3/14/2018,26179
3/15/2018,24513
3/16/2018,22249
3/17/2018,0
3/18/2018,0
3/19/2018,25128
3/20/2018,25479
3/21/2018,21539
3/22/2018,25467
3/23/2018,23587
3/24/2018,0
3/25/2018,0
3/26/2018,24537
3/27/2018,24751
3/28/2018,23902
3/29/2018,21967
3/30/2018,18962
3/31/2018,0
4/1/2018,0
4/2/2018,21053
4/3/2018,22036
4/4/2018,22562
4/5/2018,23455
4/6/2018,22928
4/7/2018,0
4/8/2018,0
4/9/2018,28779
4/10/2018,23400
4/11/2018,27452
4/12/2018,23251
4/13/2018,21799
4/14/2018,0
4/15/2018,0
4/16/2018,27806
4/17/2018,28017
4/18/2018,38262
4/19/2018,36514
4/20/2018,25176
4/21/2018,0
4/22/2018,0
4/23/2018,25862
4/24/2018,28108
4/25/2018,27568
4/26/2018,41172
4/27/2018,26422
4/28/2018,0
4/29/2018,0
4/30/2018,27620
5/1/2018,26451
5/2/2018,26733
5/3/2018,27064
5/4/2018,24458
5/5/2018,0
5/6/2018,0
5/7/2018,25159
5/8/2018,26972
5/9/2018,26543
5/10/2018,27923
5/11/2018,30683
5/12/2018,0
5/13/2018,0
5/14/2018,26248
5/15/2018,27672
5/16/2018,26980
5/17/2018,26229
5/18/2018,23903
5/19/2018,0
5/20/2018,0
